benchmark,run,result
mat-mul,baseline,1990407
mat-mul,myopt,1990407
sum-divisors,baseline,159
sum-divisors,myopt,159
euclid,baseline,563
euclid,myopt,563
newton,baseline,217
newton,myopt,217
riemann,baseline,298
riemann,myopt,298
perfect,baseline,232
perfect,myopt,232
mat-inv,baseline,1044
mat-inv,myopt,1044
digital-root,baseline,247
digital-root,myopt,247
collatz,baseline,169
collatz,myopt,169
binary-fmt,baseline,100
binary-fmt,myopt,100
gcd,baseline,46
gcd,myopt,46
n_root,baseline,733
n_root,myopt,733
check-primes,baseline,8468
check-primes,myopt,8468
recfact,baseline,104
recfact,myopt,104
armstrong,baseline,133
armstrong,myopt,133
sum-bits,baseline,73
sum-bits,myopt,73
fib,baseline,121
fib,myopt,121
sqrt,baseline,322
sqrt,myopt,322
fizz-buzz,baseline,3652
fizz-buzz,myopt,3652
primes-between,baseline,574100
primes-between,myopt,574100
eight-queens,baseline,1006454
eight-queens,myopt,1006454
binary-search,baseline,78
binary-search,myopt,78
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
cholesky,baseline,3761
cholesky,myopt,3761
catalan,baseline,659378
catalan,myopt,659378
relative-primes,baseline,1923
relative-primes,myopt,1923
factors,baseline,72
factors,myopt,72
loopfact,baseline,116
loopfact,myopt,116
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,142
bubblesort,baseline,253
bubblesort,myopt,253
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3038
adj2csr,baseline,56629
adj2csr,myopt,56629
adler32,baseline,6851
adler32,myopt,6851
sieve,baseline,3482
sieve,myopt,3482
orders,baseline,5352
orders,myopt,5352
up-arrow,baseline,252
up-arrow,myopt,252
pow,baseline,36
pow,myopt,36
max-subarray,baseline,193
max-subarray,myopt,193
quadratic,baseline,785
quadratic,myopt,785
ackermann,baseline,1464231
ackermann,myopt,1464231
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
pascals-row,baseline,146
pascals-row,myopt,146
